anomaly_degree	feats	parameter_id	tpr	fpr	study	site_scoring_method	company
0	average	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0	average	Creatinine	0	0	21652	mixedeffects	Bayer
0	average	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
0	average	Weight	0	0	21652	mixedeffects	Bayer
0	sd	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0	sd	Creatinine	0	0	21652	mixedeffects	Bayer
0	sd	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
0	sd	Weight	0	0	21652	mixedeffects	Bayer
0	autocorr	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0	autocorr	Creatinine	0	0	21652	mixedeffects	Bayer
0	autocorr	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
0	autocorr	Weight	0	0	21652	mixedeffects	Bayer
0	lof	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0	lof	Creatinine	0	0	21652	mixedeffects	Bayer
0	lof	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
0	lof	Weight	0	0	21652	mixedeffects	Bayer
0	range	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0	range	Creatinine	0	0	21652	mixedeffects	Bayer
0	range	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
0	range	Weight	0	0	21652	mixedeffects	Bayer
0	unique_value_count_relative	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0	unique_value_count_relative	Creatinine	0	0	21652	mixedeffects	Bayer
0	unique_value_count_relative	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
0	unique_value_count_relative	Weight	0	0	21652	mixedeffects	Bayer
0,25	average	Alanine Aminotransferase	0,01	0	21652	mixedeffects	Bayer
0,25	average	Creatinine	0,07	0	21652	mixedeffects	Bayer
0,25	average	Systolic Blood Pressure	0,51	0	21652	mixedeffects	Bayer
0,25	average	Weight	0,08	0	21652	mixedeffects	Bayer
0,25	sd	Alanine Aminotransferase	0,01	0	21652	mixedeffects	Bayer
0,25	sd	Creatinine	0,796666666666667	0	21652	mixedeffects	Bayer
0,25	sd	Systolic Blood Pressure	0,95	0	21652	mixedeffects	Bayer
0,25	sd	Weight	0,97	0	21652	mixedeffects	Bayer
0,25	autocorr	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0,25	autocorr	Creatinine	0	0	21652	mixedeffects	Bayer
0,25	autocorr	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
0,25	autocorr	Weight	0,0233333333333333	0	21652	mixedeffects	Bayer
0,25	lof	Alanine Aminotransferase	0,35	0	21652	mixedeffects	Bayer
0,25	lof	Creatinine	0,433333333333333	0	21652	mixedeffects	Bayer
0,25	lof	Systolic Blood Pressure	0,486666666666667	0	21652	mixedeffects	Bayer
0,25	lof	Weight	0,496666666666667	0	21652	mixedeffects	Bayer
0,25	range	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0,25	range	Creatinine	0,1	0	21652	mixedeffects	Bayer
0,25	range	Systolic Blood Pressure	0,28	0	21652	mixedeffects	Bayer
0,25	range	Weight	0,953333333333333	0	21652	mixedeffects	Bayer
0,25	unique_value_count_relative	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0,25	unique_value_count_relative	Creatinine	0	0	21652	mixedeffects	Bayer
0,25	unique_value_count_relative	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
0,25	unique_value_count_relative	Weight	0	0	21652	mixedeffects	Bayer
0,5	average	Alanine Aminotransferase	0,0766666666666667	0	21652	mixedeffects	Bayer
0,5	average	Creatinine	0,51	0	21652	mixedeffects	Bayer
0,5	average	Systolic Blood Pressure	0,933333333333333	0	21652	mixedeffects	Bayer
0,5	average	Weight	0,403333333333333	0	21652	mixedeffects	Bayer
0,5	sd	Alanine Aminotransferase	0,0933333333333333	0	21652	mixedeffects	Bayer
0,5	sd	Creatinine	0,966666666666667	0	21652	mixedeffects	Bayer
0,5	sd	Systolic Blood Pressure	0,976666666666667	0	21652	mixedeffects	Bayer
0,5	sd	Weight	0,98	0	21652	mixedeffects	Bayer
0,5	autocorr	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0,5	autocorr	Creatinine	0	0	21652	mixedeffects	Bayer
0,5	autocorr	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
0,5	autocorr	Weight	0,0333333333333333	0	21652	mixedeffects	Bayer
0,5	lof	Alanine Aminotransferase	0,45	0	21652	mixedeffects	Bayer
0,5	lof	Creatinine	0,536666666666667	0	21652	mixedeffects	Bayer
0,5	lof	Systolic Blood Pressure	0,573333333333333	0	21652	mixedeffects	Bayer
0,5	lof	Weight	0,543333333333333	0	21652	mixedeffects	Bayer
0,5	range	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0,5	range	Creatinine	0,666666666666667	0	21652	mixedeffects	Bayer
0,5	range	Systolic Blood Pressure	0,956666666666667	0	21652	mixedeffects	Bayer
0,5	range	Weight	0,976666666666667	0	21652	mixedeffects	Bayer
0,5	unique_value_count_relative	Alanine Aminotransferase	0,00333333333333333	0	21652	mixedeffects	Bayer
0,5	unique_value_count_relative	Creatinine	0,00333333333333333	0	21652	mixedeffects	Bayer
0,5	unique_value_count_relative	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
0,5	unique_value_count_relative	Weight	0	0	21652	mixedeffects	Bayer
0,75	average	Alanine Aminotransferase	0,23	0	21652	mixedeffects	Bayer
0,75	average	Creatinine	0,833333333333333	0	21652	mixedeffects	Bayer
0,75	average	Systolic Blood Pressure	0,976666666666667	0	21652	mixedeffects	Bayer
0,75	average	Weight	0,703333333333333	0	21652	mixedeffects	Bayer
0,75	sd	Alanine Aminotransferase	0,31	0	21652	mixedeffects	Bayer
0,75	sd	Creatinine	0,956666666666667	0	21652	mixedeffects	Bayer
0,75	sd	Systolic Blood Pressure	0,966666666666667	0	21652	mixedeffects	Bayer
0,75	sd	Weight	0,956666666666667	0	21652	mixedeffects	Bayer
0,75	autocorr	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0,75	autocorr	Creatinine	0	0	21652	mixedeffects	Bayer
0,75	autocorr	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
0,75	autocorr	Weight	0,04	0	21652	mixedeffects	Bayer
0,75	lof	Alanine Aminotransferase	0,5	0	21652	mixedeffects	Bayer
0,75	lof	Creatinine	0,593333333333333	0	21652	mixedeffects	Bayer
0,75	lof	Systolic Blood Pressure	0,56	0	21652	mixedeffects	Bayer
0,75	lof	Weight	0,546666666666667	0	21652	mixedeffects	Bayer
0,75	range	Alanine Aminotransferase	0,01	0	21652	mixedeffects	Bayer
0,75	range	Creatinine	0,95	0	21652	mixedeffects	Bayer
0,75	range	Systolic Blood Pressure	0,97	0	21652	mixedeffects	Bayer
0,75	range	Weight	0,983333333333333	0	21652	mixedeffects	Bayer
0,75	unique_value_count_relative	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
0,75	unique_value_count_relative	Creatinine	0	0	21652	mixedeffects	Bayer
0,75	unique_value_count_relative	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
0,75	unique_value_count_relative	Weight	0,00333333333333333	0	21652	mixedeffects	Bayer
1	average	Alanine Aminotransferase	0,33	0	21652	mixedeffects	Bayer
1	average	Creatinine	0,913333333333333	0	21652	mixedeffects	Bayer
1	average	Systolic Blood Pressure	0,983333333333333	0	21652	mixedeffects	Bayer
1	average	Weight	0,82	0	21652	mixedeffects	Bayer
1	sd	Alanine Aminotransferase	0,496666666666667	0	21652	mixedeffects	Bayer
1	sd	Creatinine	0,983333333333333	0	21652	mixedeffects	Bayer
1	sd	Systolic Blood Pressure	0,976666666666667	0	21652	mixedeffects	Bayer
1	sd	Weight	0,97	0	21652	mixedeffects	Bayer
1	autocorr	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
1	autocorr	Creatinine	0	0	21652	mixedeffects	Bayer
1	autocorr	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
1	autocorr	Weight	0,0266666666666667	0	21652	mixedeffects	Bayer
1	lof	Alanine Aminotransferase	0,513333333333333	0	21652	mixedeffects	Bayer
1	lof	Creatinine	0,633333333333333	0	21652	mixedeffects	Bayer
1	lof	Systolic Blood Pressure	0,62	0	21652	mixedeffects	Bayer
1	lof	Weight	0,596666666666667	0	21652	mixedeffects	Bayer
1	range	Alanine Aminotransferase	0,06	0	21652	mixedeffects	Bayer
1	range	Creatinine	0,973333333333333	0	21652	mixedeffects	Bayer
1	range	Systolic Blood Pressure	0,986666666666667	0	21652	mixedeffects	Bayer
1	range	Weight	0,97	0	21652	mixedeffects	Bayer
1	unique_value_count_relative	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
1	unique_value_count_relative	Creatinine	0,00666666666666667	0	21652	mixedeffects	Bayer
1	unique_value_count_relative	Systolic Blood Pressure	0,00333333333333333	0	21652	mixedeffects	Bayer
1	unique_value_count_relative	Weight	0,00333333333333333	0	21652	mixedeffects	Bayer
5	average	Alanine Aminotransferase	0,956666666666667	0	21652	mixedeffects	Bayer
5	average	Creatinine	0,973333333333333	0	21652	mixedeffects	Bayer
5	average	Systolic Blood Pressure	0,973333333333333	0	21652	mixedeffects	Bayer
5	average	Weight	0,98	0	21652	mixedeffects	Bayer
5	sd	Alanine Aminotransferase	0,95	0	21652	mixedeffects	Bayer
5	sd	Creatinine	0,95	0	21652	mixedeffects	Bayer
5	sd	Systolic Blood Pressure	0,966666666666667	0	21652	mixedeffects	Bayer
5	sd	Weight	0,966666666666667	0	21652	mixedeffects	Bayer
5	autocorr	Alanine Aminotransferase	0	0	21652	mixedeffects	Bayer
5	autocorr	Creatinine	0	0	21652	mixedeffects	Bayer
5	autocorr	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
5	autocorr	Weight	0,0133333333333333	0	21652	mixedeffects	Bayer
5	lof	Alanine Aminotransferase	0,54	0	21652	mixedeffects	Bayer
5	lof	Creatinine	0,663333333333333	0	21652	mixedeffects	Bayer
5	lof	Systolic Blood Pressure	0,643333333333333	0	21652	mixedeffects	Bayer
5	lof	Weight	0,6	0	21652	mixedeffects	Bayer
5	range	Alanine Aminotransferase	0,92	0	21652	mixedeffects	Bayer
5	range	Creatinine	0,956666666666667	0	21652	mixedeffects	Bayer
5	range	Systolic Blood Pressure	0,97	0	21652	mixedeffects	Bayer
5	range	Weight	0,98	0	21652	mixedeffects	Bayer
5	unique_value_count_relative	Alanine Aminotransferase	0,67	0	21652	mixedeffects	Bayer
5	unique_value_count_relative	Creatinine	0,81	0	21652	mixedeffects	Bayer
5	unique_value_count_relative	Systolic Blood Pressure	0,653333333333333	0	21652	mixedeffects	Bayer
5	unique_value_count_relative	Weight	0,553333333333333	0	21652	mixedeffects	Bayer
10	average	Alanine Aminotransferase	0,96	0	21652	mixedeffects	Bayer
10	average	Creatinine	0,973333333333333	0	21652	mixedeffects	Bayer
10	average	Systolic Blood Pressure	0,966666666666667	0	21652	mixedeffects	Bayer
10	average	Weight	0,973333333333333	0	21652	mixedeffects	Bayer
10	sd	Alanine Aminotransferase	0,963333333333333	0	21652	mixedeffects	Bayer
10	sd	Creatinine	0,976666666666667	0	21652	mixedeffects	Bayer
10	sd	Systolic Blood Pressure	0,95	0	21652	mixedeffects	Bayer
10	sd	Weight	0,96	0	21652	mixedeffects	Bayer
10	autocorr	Alanine Aminotransferase	0,00333333333333333	0	21652	mixedeffects	Bayer
10	autocorr	Creatinine	0	0	21652	mixedeffects	Bayer
10	autocorr	Systolic Blood Pressure	0	0	21652	mixedeffects	Bayer
10	autocorr	Weight	0,0233333333333333	0	21652	mixedeffects	Bayer
10	lof	Alanine Aminotransferase	0,493333333333333	0	21652	mixedeffects	Bayer
10	lof	Creatinine	0,623333333333333	0	21652	mixedeffects	Bayer
10	lof	Systolic Blood Pressure	0,663333333333333	0	21652	mixedeffects	Bayer
10	lof	Weight	0,646666666666667	0	21652	mixedeffects	Bayer
10	range	Alanine Aminotransferase	0,966666666666667	0	21652	mixedeffects	Bayer
10	range	Creatinine	0,973333333333333	0	21652	mixedeffects	Bayer
10	range	Systolic Blood Pressure	0,973333333333333	0	21652	mixedeffects	Bayer
10	range	Weight	0,97	0	21652	mixedeffects	Bayer
